,,,,,,,,,,,,,,,,,,,,,Offense Four Factors,,,,,Defense Four Factors,,,,,,,
Rk,Year,Team,Playoffs,Championship,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,2012,Chicago Bulls,Yes,No,27.1,50,16,51,15,8.18,-0.76,7.43,107.4,98.3,9.1,89.1,0.255,0.205,0.523,,0.49,13.2,32.6,0.184,,0.45,12.8,74.3,0.175,,United Center,"731,326","22,161"
2,2012,San Antonio Spurs,Yes,No,27.5,50,16,48,18,7.17,0.11,7.28,110.9,103.2,7.7,92.9,0.261,0.257,0.562,,0.528,12.8,25.1,0.195,,0.489,12.9,76,0.168,,AT&T Center,"607,095","18,397"
3,2012,Oklahoma City Thunder,Yes,No,25.1,47,19,46,20,6.12,0.32,6.44,109.8,103.2,6.6,93,0.334,0.252,0.567,,0.516,15.3,27.8,0.269,,0.465,13,72.1,0.207,,Chesapeake Energy Arena,"600,699","18,203"
4,2012,Miami Heat,Yes,Yes,28.3,46,20,47,19,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.307,0.198,0.549,,0.505,14.5,26.6,0.238,,0.479,15.8,73.9,0.2,,AmericanAirlines Arena,"657,855","19,935"
5,2012,Philadelphia 76ers,Yes,No,24.9,35,31,43,23,4.24,-0.65,3.59,103.9,99.2,4.7,89.7,0.217,0.175,0.511,,0.48,10.9,24.4,0.161,,0.46,13.5,75.2,0.192,,Wells Fargo Center,"577,597","17,503"
6,2012,Atlanta Hawks,Yes,No,27.9,40,26,41,25,3.44,-0.77,2.67,104.9,101.2,3.7,90.2,0.259,0.249,0.535,,0.5,13.4,23.9,0.192,,0.48,14.4,74.4,0.186,,Philips Arena,"501,593","15,200"
7,2012,Indiana Pacers,Yes,No,26.3,42,24,41,25,3.3,-0.71,2.6,106.7,103.1,3.6,90.7,0.321,0.198,0.526,,0.474,13.1,29.2,0.251,,0.476,14.1,72.3,0.222,,Bankers Life Fieldhouse,"467,561","14,169"
8,2012,New York Knicks,Yes,No,26.3,36,30,41,25,3.2,-0.81,2.39,104.4,101,3.4,93.2,0.306,0.288,0.533,,0.492,14.9,26.6,0.227,,0.485,15.9,73.7,0.224,,Madison Square Garden (IV),"652,179","19,763"
9,2012,Denver Nuggets,Yes,No,26.6,38,28,39,27,2.88,0.29,3.16,109.2,106.2,3,94.2,0.326,0.243,0.556,,0.516,14.1,27.7,0.239,,0.508,14.3,74.3,0.185,,Pepsi Center,"561,966","17,029"
10,2012,Boston Celtics,Yes,No,29.3,39,27,39,27,2.52,-0.26,2.26,101,98.2,2.8,90.4,0.257,0.194,0.535,,0.496,14.7,19.7,0.2,,0.452,14.9,72.4,0.216,,TD Garden,"614,592","18,624"
11,2012,Los Angeles Clippers,Yes,No,27.3,40,26,39,27,2.56,0.26,2.82,108.5,105.7,2.8,89.2,0.287,0.269,0.533,,0.502,12.7,29.5,0.195,,0.492,14.2,73.2,0.245,,STAPLES Center,"634,237","19,219"
12,2012,Memphis Grizzlies,Yes,No,25.6,41,25,38,28,2.02,0.42,2.43,104,101.8,2.2,90.8,0.277,0.157,0.515,,0.473,13.6,29.8,0.211,,0.485,16.3,72.7,0.227,,FedEx Forum,"518,446","15,710"
13,2012,Los Angeles Lakers,Yes,No,29.7,41,25,36,30,1.42,0.54,1.96,106,104.4,1.6,90.5,0.299,0.209,0.534,,0.491,14.2,29.1,0.226,,0.476,10.7,74.8,0.158,,STAPLES Center,"626,901","18,997"
14,2012,Dallas Mavericks,Yes,No,31.3,36,30,35,31,0.95,0.83,1.78,103.3,102.3,1,91.4,0.246,0.271,0.527,,0.489,13.4,23.4,0.19,,0.479,13.9,74.8,0.203,,American Airlines Center,"671,050","20,335"
15,2012,Orlando Magic,Yes,No,27.5,37,29,35,31,0.79,-0.33,0.46,105,104.1,0.9,89,0.292,0.346,0.533,,0.506,14.5,26.5,0.193,,0.488,12.9,75.5,0.19,,Amway Center,"623,587","18,897"
16,2012,Utah Jazz,Yes,No,25.6,36,30,34,32,0.62,0.3,0.92,106.8,106.1,0.7,91.4,0.302,0.153,0.525,,0.481,13,30.2,0.227,,0.493,13.8,73.8,0.245,,EnergySolutions Arena,"637,124","19,307"
17,2012,Milwaukee Buck,No,No,26.2,31,35,34,32,0.27,-0.5,-0.23,105.5,105.2,0.3,93.7,0.25,0.224,0.521,,0.481,12.9,27.7,0.194,,0.489,14.6,70.9,0.217,,Bradley Center,"485,717","14,719"
18,2012,Houston Rockets,No,No,26.2,34,32,34,32,0.23,0.35,0.57,105.5,105.2,0.3,91.7,0.235,0.24,0.529,,0.492,13.5,27.5,0.184,,0.49,13.8,73.4,0.21,,Toyota Center,"506,994","15,363"
