Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Offense Four Factors,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Defense Four Factors,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
Rk,Year,Team,Playoffs,Championship,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,1992,Chicago Bulls,Yes,Yes,27.6,67,15,66,16,10.44,-0.37,10.07,115.5,104.5,11,94.4,0.297,0.063,0.556,,0.518,11.8,35.1,0.221,,0.476,14.1,69.3,0.219,,Chicago Stadium,"759,980","18,536"
2,1992,Portland Trail Blazers,Yes,No,28.1,57,25,59,23,7.27,-0.33,6.94,111.4,104.2,7.2,99,0.335,0.128,0.541,,0.495,13.6,35.6,0.253,,0.471,14.3,69.9,0.251,,Memorial Coliseum,"528,408","12,888"
3,1992,Utah Jazz,Yes,No,28.5,55,27,57,25,6.39,-0.69,5.7,112.2,105.6,6.6,95.5,0.363,0.067,0.557,,0.504,13.7,32.7,0.286,,0.475,13,68.9,0.214,,Delta Center,"806,663","19,675"
4,1992,Phoenix Suns,Yes,No,27,53,29,56,26,5.94,-0.26,5.68,112.1,106.2,5.9,99.4,0.332,0.083,0.556,,0.508,13.1,31.7,0.258,,0.471,13,67.7,0.223,,Arizona Veterans Memorial Coliseum,"594,327","14,496"
5,1992,Cleveland Cavaliers,Yes,No,27.6,57,25,55,27,5.45,-0.11,5.34,113.9,108.2,5.7,95,0.322,0.101,0.557,,0.506,11.8,30.5,0.259,,0.483,12.3,66.5,0.174,,Coliseum at Richfield,"677,408","16,522"
6,1992,New York Knicks,Yes,No,27.3,51,31,52,30,3.89,-0.22,3.67,108.3,104.2,4.1,92.9,0.295,0.089,0.531,,0.491,13.7,34.6,0.216,,0.471,14,71.1,0.248,,Madison Square Garden (IV),"726,608","17,722"
7,1992,Boston Celtics,Yes,No,29.2,51,31,51,31,3.62,-0.21,3.41,110.8,107,3.8,95.8,0.266,0.05,0.544,,0.5,12.7,31.9,0.215,,0.469,11.9,68.7,0.22,,Boston Garden,"610,776","14,885"
8,1992,Golden State Warriors,Yes,No,25.5,55,27,50,32,3.9,-0.14,3.77,113.6,109.9,3.7,103.4,0.351,0.103,0.568,,0.524,13.6,31.8,0.262,,0.499,14.9,64.2,0.256,,Oakland-Alameda County Coliseum Arena,"616,025","15,025"
9,1992,San Antonio Spurs,Yes,No,27.3,47,35,50,32,3.32,-0.51,2.81,107.5,104.1,3.4,96.2,0.317,0.057,0.528,,0.485,13.9,34.2,0.233,,0.469,13.5,69.8,0.224,,HemisFair Arena,"658,337","16,057"
10,1992,Detroit Pistons,Yes,No,30.1,48,34,47,35,2.04,0.01,2.06,107.5,105.3,2.2,91.6,0.307,0.077,0.52,,0.477,13.5,34.9,0.228,,0.468,12.5,68.5,0.204,,The Palace of Auburn Hills,"879,614","21,454"
11,1992,Seattle SuperSonics,Yes,No,27.3,47,35,46,36,1.88,-0.02,1.86,110.7,108.8,1.9,95.4,0.317,0.091,0.538,,0.489,14,36.5,0.249,,0.491,14.2,66.8,0.269,,Seattle Center Coliseum,"588,928","12,006"
12,1992,Indiana Pacers,Yes,No,26.4,40,42,46,36,1.89,-0.04,1.85,111.7,109.9,1.8,99,0.334,0.133,0.566,,0.518,14.7,31.8,0.264,,0.483,12.8,67.4,0.27,,Market Square Arena,"517,352","12,618"
13,1992,Los Angeles Clippers,Yes,No,27.3,45,37,44,38,1.07,0.03,1.1,105.8,104.7,1.1,96.5,0.314,0.071,0.524,,0.483,13.6,31.6,0.226,,0.475,14.9,67.5,0.244,,Los Angeles Memorial Sports Arena,"500,200","12,200"
14,1992,Los Angeles Lakers,Yes,No,28.3,43,39,38,44,-1.1,0.15,-0.95,107.7,108.9,-1.2,92.5,0.327,0.064,0.516,,0.465,12,32.7,0.25,,0.493,13.8,64,0.187,,Great Western Forum,"699,240","17,055"
15,1992,Philadelphia 76ers,No,No,27.6,35,47,37,45,-1.27,-0.07,-1.34,108.3,109.7,-1.4,93.7,0.335,0.101,0.539,,0.488,13.8,30.9,0.26,,0.496,13,66.4,0.192,,The Spectrum,"574,137","14,003"
16,1992,Atlanta Hawks,No,No,27.2,38,44,37,45,-1.5,0.35,-1.15,107.3,108.9,-1.6,97.8,0.277,0.09,0.519,,0.481,13,33.6,0.203,,0.497,13.2,68.3,0.209,,Omni Coliseum,"511,803","12,483"
17,1992,New Jersey Nets,Yes,No,25.6,40,42,36,46,-1.7,0.15,-1.54,107,108.7,-1.7,98,0.265,0.088,0.51,,0.473,14.1,39.1,0.194,,0.488,14.1,66.3,0.247,,Brendan Byrne Arena,"517,356","12,618"
18,1992,Houston Rockets,No,No,28,42,40,36,46,-1.72,-0.22,-1.94,106.2,108,-1.8,95.1,0.293,0.139,0.537,,0.499,15,30.9,0.216,,0.477,12.5,66.4,0.209,,The Summit,"592,790","14,458"
19,1992,Milwaukee Bucks,No,No,30.2,31,51,36,46,-1.71,0.26,-1.46,108.8,110.6,-1.8,95.5,0.292,0.139,0.529,,0.486,14.2,35.9,0.221,,0.514,15.3,65,0.237,,Bradley Center,"635,515","15,500"
20,1992,Charlotte Hornets,No,No,25.2,31,51,31,51,-3.9,0.33,-3.57,107.1,110.9,-3.8,101.7,0.286,0.049,0.527,,0.485,13,31.1,0.216,,0.51,14.1,65.4,0.222,,Charlotte Coliseum,"971,618","23,698"
21,1992,Miami Heat,Yes,No,24.4,38,44,30,52,-4.21,0.27,-3.94,106.7,110.9,-4.2,97.7,0.33,0.106,0.532,,0.479,14.6,33,0.26,,0.508,13.9,67.6,0.235,,Miami Arena,"613,583","14,965"
22,1992,Washington Bullets,No,No,26.1,25,57,29,53,-4.46,0.11,-4.35,103.9,108.4,-4.5,97.7,0.268,0.074,0.514,,0.471,13.3,28.9,0.208,,0.493,14,66.2,0.235,,Capital Centre,"505,988","12,372"
23,1992,Sacramento Kings,No,No,25.1,29,53,26,56,-6.06,0.44,-5.63,103.9,109.9,-6,99.6,0.301,0.094,0.525,,0.482,14.3,28.5,0.225,,0.493,13.9,64.2,0.233,,ARCO Arena (II),"697,574","17,014"
24,1992,Orlando Magic,No,No,26.6,21,61,23,59,-6.91,0.4,-6.52,103.5,110.5,-7,98,0.319,0.086,0.514,,0.467,14.6,32.4,0.238,,0.502,13.5,67.8,0.26,,Orlando Arena,"621,191","15,151"
25,1992,Minnesota Timberwolves,No,No,26.4,15,67,23,59,-7.05,0.2,-6.85,105,112.4,-7.4,95.1,0.253,0.054,0.505,,0.467,12.4,31.5,0.188,,0.497,13,62.3,0.244,,Target Center,"769,035","18,757"
26,1992,Denver Nuggets,No,No,25.7,24,58,21,61,-7.87,0.28,-7.59,100.7,108.6,-7.9,98.6,0.28,0.057,0.493,,0.451,14.9,34.8,0.207,,0.494,14.7,68,0.279,,McNichols Sports Arena,"534,323","13,105"
27,1992,Dallas Mavericks,No,No,28.2,22,60,21,61,-7.65,0.18,-7.47,103,111.1,-8.1,94.4,0.281,0.112,0.501,,0.458,13.1,31.2,0.211,,0.483,11.5,67.8,0.259,,Reunion Arena,"634,380","15,473"
,1992,League Average,,,27.2,,,41,41,0,0,0,108.2,108.2,,96.6,0.305,0.087,0.531,,0.487,13.6,32.9,0.232,,0.487,13.6,67.1,0.232,,,"642,339","15,610"
Rk,Year,Team,Playoffs,Championship,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,1993,Seattle SuperSonics,Yes,No,27.7,55,27,59,23,7.07,-0.42,6.66,112.3,104.9,7.4,96,0.316,0.085,0.546,,0.502,13.5,35.5,0.241,,0.489,16.4,67.7,0.26,,Seattle Center Coliseum,"646,589","13,453"
2,1993,Chicago Bulls,Yes,Yes,28.1,57,25,58,24,6.29,-0.1,6.19,112.9,106.1,6.8,92.5,0.271,0.093,0.535,,0.499,12,36.3,0.199,,0.493,15.4,68.7,0.239,,Chicago Stadium,"759,656","18,528"
3,1993,Cleveland Cavaliers,Yes,No,28.8,54,28,58,24,6.45,-0.15,6.3,112.7,106,6.7,94.8,0.308,0.108,0.565,,0.518,12.5,28.1,0.247,,0.482,13.1,69.1,0.185,,Coliseum at Richfield,"751,465","18,328"
4,1993,Phoenix Suns,Yes,No,28.2,62,20,57,25,6.66,-0.39,6.27,113.3,106.7,6.6,99.8,0.358,0.154,0.566,,0.521,14.2,33,0.27,,0.496,13.9,69.2,0.206,,America West Arena,"779,943","19,023"
5,1993,New York Knicks,Yes,No,28.3,60,22,58,24,6.16,-0.29,5.87,106.1,99.7,6.4,94.5,0.336,0.088,0.526,,0.479,14.1,33.1,0.249,,0.444,14.9,72.1,0.294,,Madison Square Garden (IV),"804,840","19,630"
6,1993,Houston Rockets,Yes,No,27.4,55,27,53,29,4.23,-0.66,3.57,109.6,105.2,4.4,94.4,0.31,0.159,0.557,,0.515,14.5,30,0.235,,0.474,13.4,68.5,0.201,,The Summit,"554,210","13,492"
7,1993,Portland Trail Blazers,Yes,No,28.2,51,31,49,33,3.11,-0.19,2.92,108.3,105.2,3.1,99.1,0.347,0.115,0.526,,0.476,12.6,32.7,0.259,,0.488,14.8,71,0.237,,Memorial Coliseum,"528,408","12,888"
8,1993,San Antonio Spurs,Yes,No,27.5,49,33,48,34,2.67,-0.46,2.21,109.6,106.8,2.8,95.4,0.347,0.102,0.555,,0.507,13.6,27.8,0.265,,0.477,12.3,70.1,0.221,,HemisFair Arena,"658,337","16,057"
9,1993,Utah Jazz,Yes,No,29.3,47,35,47,35,2.17,-0.43,1.74,109.6,107.4,2.2,96.5,0.365,0.061,0.55,,0.498,13.8,31,0.279,,0.487,13.9,68.7,0.25,,Delta Center,"815,892","19,900"
10,1993,Indiana Pacers,Yes,No,26.8,41,41,46,36,1.7,0.08,1.77,111.9,110.1,1.8,96,0.342,0.112,0.547,,0.498,13.5,34.2,0.262,,0.485,12.7,67.4,0.281,,Market Square Arena,"530,891","12,949"
11,1993,Orlando Magic,No,No,25.8,41,41,45,37,1.32,0.03,1.35,108.5,107.1,1.4,96.3,0.372,0.133,0.554,,0.509,15.5,31.4,0.271,,0.473,11.9,68.8,0.232,,Orlando Arena,"621,191","15,151"
12,1993,New Jersey Nets,Yes,No,27.3,43,39,45,37,1.26,-0.05,1.2,106.5,105.2,1.3,96,0.319,0.069,0.522,,0.473,14.4,35.5,0.244,,0.48,14.1,69.5,0.24,,Brendan Byrne Arena,"620,416","15,132"
13,1993,Boston Celtics,Yes,No,28.6,48,34,43,39,0.89,0.04,0.93,108.7,107.8,0.9,94.9,0.27,0.054,0.536,,0.495,12.9,31.2,0.21,,0.479,12.9,69,0.251,,Boston Garden,"608,495","14,890"
14,1993,Los Angeles Clippers,Yes,No,26.7,41,41,42,40,0.35,-0.03,0.33,107.4,107.1,0.3,99.1,0.297,0.067,0.53,,0.493,13.9,32.7,0.213,,0.489,15.1,66.7,0.263,,Los Angeles Memorial Sports Arena,"532,625","12,991"
15,1993,Charlotte Hornets,Yes,No,25.7,44,38,40,42,-0.24,0.22,-0.02,109.5,109.7,-0.2,100.2,0.329,0.074,0.547,,0.499,13.8,31.3,0.254,,0.487,12.6,65,0.201,,Charlotte Coliseum,"971,880","23,704"
16,1993,Atlanta Hawks,Yes,No,27.1,43,39,39,43,-0.87,0.2,-0.67,109.3,110.2,-0.9,97.6,0.305,0.148,0.534,,0.493,14,34.8,0.227,,0.516,14.6,68.5,0.224,,Omni Coliseum,"491,229","11,981"
17,1993,Golden State Warriors,No,No,25,34,48,38,44,-0.99,0.05,-0.94,109.2,110.2,-1,99.5,0.342,0.118,0.543,,0.502,14.9,34.2,0.245,,0.501,14,67,0.261,,Oakland-Alameda County Coliseum Arena,"616,025","15,025"
18,1993,Miami Heat,No,No,25.2,36,46,38,44,-1.15,0.21,-0.93,107.7,108.9,-1.2,94.6,0.361,0.137,0.535,,0.481,13.9,31.9,0.279,,0.495,14.2,69.8,0.274,,Miami Arena,"614,915","14,998"
